tensor(28.1444, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.3736, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3655, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.9430, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1996, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.5063, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.9275, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4117, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1453, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.1998, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1684, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4835, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.3734, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.8315, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3003, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6139, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.2290, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.2945, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5479, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3804, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.3547, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4680, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1650, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.0133, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4964, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4816, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1073, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.1339, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.5399, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4761, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.0334, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.4443, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.8419, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.9221, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0062, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.0503, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3261, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.9762, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.7204, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.8649, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.8158, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.7700, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.2622, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0028, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.7474, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1140, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.4160, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.2965, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.4425, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5801, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4405, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.3461, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0061, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.2988, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1467, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.2470, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.7014, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3193, device='cuda:0', grad_fn=<MulBackward0>)
